City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Samarai,PG,2021-01-12 21:57:10,-10.6167,150.6667,83.91,79,100,10.92
68,Constantine,DZ,2021-01-12 21:53:40,36.365,6.6147,37.4,81,20,8.05
69,Peniche,PT,2021-01-12 21:57:10,39.3558,-9.3811,43.0,61,0,1.01
70,Esperance,AU,2021-01-12 21:57:10,-33.8667,121.9,57.2,82,40,5.75
71,Semiletka,RU,2021-01-12 21:57:11,55.3603,54.6153,-11.58,90,85,4.56
72,Dimbokro,CI,2021-01-12 21:57:11,6.6451,-4.7048,78.46,77,78,5.75
73,Chapais,CA,2021-01-12 21:57:11,49.7834,-74.8492,24.8,93,90,6.91
74,Padang,ID,2021-01-12 21:57:11,-0.9492,100.3543,77.38,74,99,3.71
75,Ribeira Grande,PT,2021-01-12 21:57:11,38.5167,-28.7,60.8,94,40,12.66
76,Long Beach,US,2021-01-12 21:53:51,33.767,-118.1892,72.0,23,1,6.91
77,Amuntai,ID,2021-01-12 21:57:11,-2.4177,115.2494,74.66,96,100,1.05
78,Busselton,AU,2021-01-12 21:57:11,-33.65,115.3333,57.0,83,94,1.01
79,Kruisfontein,ZA,2021-01-12 21:57:11,-34.0033,24.7314,71.01,85,100,5.01
80,Brigantine,US,2021-01-12 21:56:48,39.4101,-74.3646,44.6,45,1,5.75
81,Saldanha,ZA,2021-01-12 21:57:12,-33.0117,17.9442,75.2,60,0,5.75
82,Pakokku,MM,2021-01-12 21:57:12,21.3333,95.1,66.63,73,81,4.36
83,Ostrovnoy,RU,2021-01-12 21:57:12,68.0531,39.5131,4.17,91,0,18.68
84,Clyde River,CA,2021-01-12 21:57:12,70.4692,-68.5914,-4.0,84,75,3.44
85,Vardo,NO,2021-01-12 21:57:12,70.3705,31.1107,8.6,66,20,20.71
86,Hilo,US,2021-01-12 21:53:03,19.7297,-155.09,73.4,78,90,9.22
87,Vestmanna,FO,2021-01-12 21:57:12,62.1564,-7.1664,26.6,86,88,3.44
88,Airai,TL,2021-01-12 21:57:12,-8.9266,125.4092,62.29,100,93,1.57
89,Ust-Omchug,RU,2021-01-12 21:57:12,61.15,149.6333,-18.87,84,98,2.64
90,Constitucion,CL,2021-01-12 21:57:12,-35.3333,-72.4167,65.32,42,0,16.2
91,Chuy,UY,2021-01-12 21:57:13,-33.6971,-53.4616,64.92,59,99,12.12
92,Fortuna,US,2021-01-12 21:57:13,40.5982,-124.1573,57.99,100,90,19.57
93,Limon,CR,2021-01-12 21:57:13,10.0,-83.0333,77.0,94,90,4.61
94,Mana,GF,2021-01-12 21:57:13,5.6592,-53.7767,77.86,84,74,11.16
95,Tasiilaq,GL,2021-01-12 21:57:13,65.6145,-37.6368,32.0,86,90,43.73
96,Timmins,CA,2021-01-12 21:56:46,48.4669,-81.3331,33.8,69,90,5.75
